locker;locker_level;level_spot;active_spot;incoming;product_type;product_quantity;max_spot_quantity;;product_id;out_of_balance;chip;vendor
1;1;1;;yes;new;3000;3000;;12;;;
1;1;2;;yes;new;3000;3000;;12;;;
1;1;3;;yes;new;3000;3000;;12;;;
1;1;4;;yes;new;3000;3000;;12;;;
1;1;5;;yes;new;3000;3000;;12;;;
1;1;6;;yes;new;3000;3000;;12;;;
1;1;7;;yes;new;3000;3000;;12;;;
1;1;8;;yes;new;3000;3000;;12;;;
1;1;9;;yes;new;3000;3000;;12;;;
1;1;10;;yes;new;3000;3000;;12;;;
1;2;1;;yes;new;1000;1000;;12;;;
1;2;2;;yes;new;1000;1000;;12;;;
1;2;3;;yes;new;1000;1000;;12;;;
1;2;4;;yes;new;1000;1000;;12;;;
1;2;5;;yes;new;1000;1000;;12;;;
1;2;6;;yes;new;1000;1000;;12;;;
1;2;7;;;new;1000;1000;;12;;;
1;2;8;;;new;1000;1000;;12;;;
1;2;9;;;new;1000;1000;;12;;;
1;2;10;;;new;1000;1000;;12;;;
1;3;1;;yes;new;1000;1000;;13;;;
1;3;2;;yes;new;1000;1000;;13;;;
1;3;3;;yes;new;1000;1000;;13;;;
1;3;4;;yes;new;1000;1000;;13;;;
1;3;5;;yes;new;1000;1000;;13;;;
1;3;6;;yes;new;1000;1000;;13;;;
1;3;7;;yes;new;1000;1000;;13;;;
1;3;8;;yes;new;1000;1000;;13;;;
1;3;9;;yes;new;1000;1000;;13;;;
1;3;10;;yes;new;1000;1000;;13;;;
1;4;1;;yes;new;1000;1000;;13;;;
1;4;2;;yes;new;1000;1000;;13;;;
1;4;3;;yes;new;1000;1000;;13;;;
1;4;4;;yes;new;1000;1000;;13;;;
1;4;5;;yes;new;1000;1000;;13;;;
1;4;6;;yes;new;1000;1000;;13;;;
1;4;7;;yes;new;1000;1000;;13;;;
1;4;8;;yes;new;1000;1000;;13;;;
1;4;9;;yes;new;1000;1000;;13;;;
1;4;10;;yes;new;1000;1000;;13;;;
1;5;1;;yes;new;1000;1000;;13;;;
1;5;2;;yes;new;1000;1000;;13;;;
1;5;3;;yes;new;1000;1000;;13;;;
1;5;4;;yes;new;1000;1000;;13;;;
1;5;5;;yes;new;1000;1000;;13;;;
1;5;6;;yes;new;1000;1000;;13;;;
1;5;7;;yes;new;1000;1000;;13;;;
1;5;8;;yes;new;1000;1000;;13;;;
1;5;9;;;new;1000;1000;;13;;;
1;5;10;;;new;1000;1000;;13;;;
1;6;1;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;2;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;3;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;4;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;5;;yes;white;1000;1000;;16;;Abraham48_07BB;my_Frend
1;6;6;;yes;white;1000;1000;;16;;Abraham48_07BB;my_Frend
1;6;7;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;6;8;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;6;9;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;6;10;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;7;1;;yes;new;1000;1000;;20;;Abraham48_07BB;my_Frend
1;7;2;;yes;new;1000;1000;;20;;Abraham48_07BB;my_Frend
1;7;3;;yes;new;1000;1000;;20;;Abraham34_07TT;my_Frend
1;7;4;;yes;new;1000;1000;;20;;Abraham34_07TT;my_Frend
1;7;5;;;;;1000;;;;;
1;7;6;;;;;1000;;;;;
1;7;7;;;;;1000;;;;;
1;7;8;;;;;1000;;;;;
1;7;9;;;;;1000;;;;;
1;7;10;;;;;1000;;;;;
1;8;1;yes;yes;colored;200;1000;;17;;Abraham48_07BB;my_Frend
1;8;1;yes;yes;colored;150;1000;;18;;Abraham48_07BB;my_Frend
1;8;2;;;;;1000;;;;;
1;8;3;;;;;1000;;;;;
1;8;4;;;;;1000;;;;;
1;8;5;;;;;1000;;;;;
1;8;6;;;;;1000;;;;;
1;8;7;;;;;1000;;;;;
1;8;8;;;;;1000;;;;;
1;8;9;;;;;1000;;;;;
1;8;10;;yes;colored_reject;5;1000;;17;;;
1;8;10;;yes;colored_reject;10;1000;;18;;;
1;8;10;;yes;input_reject;1;1000;;16;;Abraham48_07BB;my_Frend
1;9;1;yes;yes;new;100;1000;;12;;;
1;9;2;yes;yes;new;200;1000;;13;;;
1;9;3;yes;yes;new;300;1000;;20;;Abraham34_07TT;my_Frend
1;9;4;yes;yes;new;600;1000;;15;;Abraham48_07BB;my_Frend
1;9;5;;;;;1000;;;;;
1;9;6;;;;;1000;;;;;
1;9;7;;;;;1000;;;;;
1;9;8;;;;;1000;;;;;
1;9;9;;;;;1000;;;;;
1;9;10;;;;;1000;;;;;
1;10;1;;;;;1500;;;;;
1;10;2;;;;;1500;;;;;
1;10;3;;;;;1500;;;;;
1;10;4;;;;;1500;;;;;
1;10;5;;;;;1500;;;;;
1;10;6;;;;;1500;;;;;
1;10;7;;;;;1500;;;;;
1;10;8;;;;;1500;;;;;
1;10;9;;;;;1500;;;;;
1;10;10;;;;;1500;;;;;
2;1;1;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;2;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;3;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;4;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;5;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;6;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;7;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;8;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;9;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;10;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;2;1;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;2;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;3;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;4;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;5;;;;;1000;;;;;
2;2;6;;;;;1000;;;;;
2;2;7;;;;;1000;;;;;
2;2;8;;;;;1000;;;;;
2;2;9;;;;;1000;;;;;
2;2;10;;;;;1000;;;;;
2;3;1;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;2;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;3;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;4;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;5;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;6;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;7;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;3;8;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;3;9;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;3;10;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;4;1;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;2;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;3;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;4;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;5;;;;;1000;;;;;
2;4;6;;;;;1000;;;;;
2;4;7;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;4;8;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;4;9;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;4;10;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;5;1;;yes;new;1000;1000;;54;;;
2;5;2;;yes;new;1000;1000;;54;;;
2;5;3;;yes;new;1000;1000;;54;;;
2;5;4;;yes;new;1000;1000;;54;;;
2;5;5;;yes;new;1000;1000;;54;;;
2;5;6;;yes;new;1000;1000;;54;;;
2;5;7;;yes;new;1000;1000;;54;;;
2;5;8;;yes;new;1000;1000;;54;;;
2;5;9;;yes;new;1000;1000;;54;;;
2;5;10;;yes;new;1000;1000;;54;;;
2;6;1;;yes;white;1000;1000;;53;;;
2;6;2;;yes;white;1000;1000;;53;;;
2;6;3;;yes;white;1000;1000;;53;;;
2;6;4;;yes;white;1000;1000;;53;;;
